channel_location,date_creation,channel_name,views,videos,subscriptions,extration_date,icon,banner
Brasil,2012-06-03,7 Minutoz,4772323309,552,13500000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/mIBgr5oi70z7RNtfoivWJk9iaJ06R50Xidpk9fTCDKwDzuedWk8nUPg_Ek1ys5oKFD4l6A7JrQ=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/3BVTf2TVUrrTOUnFXzdclN2TtHlvYYB4U-U4B0b69ajhnxmhyXB55d-gDx_yD52iN6Iz5vTD=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2012-08-03,ALVXARO,14029818,42,553000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/gy8G-B1vXxlKVqHQ2u3ffAcwdPodirVRlxacAEU3TK0OxpP9coDXDAcR1raOCQpFHu5eQncZX7w=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/x_vUQuYdmvl5AvM6Z7awWYZm2YAY0zgF6X4uUUpV52oGdGmOzYR3M8ZuUNpNnrO8h-WtYNWG-g=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2016-08-08,Band Jornalismo,2670712150,141814,5590000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/UnAxgpQIXMDrPMosiYN06na0yQphfsbdykyWBfsT3UZk1ywdj4dfLfvAOyuKKPhSI0GDByAf=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/hsfGWJ9fuplwYf1gImFwlESz4Vddq6vOoqbEX6ux7Fr1GavaajminOyPAWviY_-k5rJLxSNUOoA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2016-01-02,Banheiristas,2053192921,1192,5910000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/HLxx6qtiDGQqMDwZmo1_0nXtW6msgpGGd4MHUmPa7XHWFjr6Nhttz2LrOtq7_m9rST3P_gQG-pk=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/Nf0FnlAwH2SlVq9Ps_EAr-x5nr541UiDTEVhxYWR6VBsdDKOvLgIn2372-DB1NgKBRelqPW72HE=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Estados Unidos,2014-06-04,Ben Azelart,7194526225,349,30000000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/mdLQ_AP35nEMgCDSuOqj7l32s-2edWv8WEmZY8fxPiJ4tI5gWM867-P76O9l8vMxYFX-SkKBIA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/p9NAogwMavDK7gokxZyK72dyBNbpxS-Rd2X7XKcuA74lvOKBNlwvMz9QSM_gDpwDWEAp8MgK=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2011-12-10,BlackoutZ,174830490,727,1110000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/JCYsuopsL1J1MPW0Js3RVRiciFmYGZf2uSlfrkbwAKGwixrxaLUsccNjFps0Pyh1SvU0P4LVow=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/pqef_Qd1u_A8iG1oYy09UQz-EelNDzYOcbr36pA3FPS5GAy8PHJh0pbM0eI203JDpxYOeRlf9g=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Finlândia,2017-04-28,Brawl Stars,2671134829,230,18900000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/Gtbz6C-MEA3cDKEotcjBdOwwmobQz4fEgM_gTx_w_nDU7ddj5mu3nkEDxWy0aVavkm2kIPWQog=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/9VJ3Qhq9X4Smll6rj2NiUKI24RYKEM7yR-dvReTshbFKu7XMU8qHClCf16FD6vh99egQFW5vvg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2019-02-27,Canal GOAT,330031716,3042,3560000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/lQbsmXG4-b751D81rRQ2DSmXVsu7WRPelClSw4Oc3jkJ6dxzgUne8AyZL4A6v5uH74x659wnvA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/K3NV8lAIUChvqZX4ngs5oFkYy9NAYyWsJf-sBNVLMolYwu_d9oufONjN6_UxjJwrC2qPI2o1BA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2019-02-02,CazéTV,2017235211,7225,16300000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/XiDI4jKrS7jiTTMpQPVnjQUwiZlMmW-5uTqY8L2-2rFzijy16o2QsHvvF3JVrNBNzHqlIYbIag=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/m-HJCnrXMvwDPtknv6PE8h_S7qUmgkBgGjUj3pAWEzs1xbTU78xqahHKsZp1quoTEUx03W6HSg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2020-02-17,CNN Brasil,3061107590,95112,5170000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/ytc/AIdro_ndPKZMHqFQNc-W3JxlLh_POjtSMcKusAaagJRjtpDO6hU=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/H6A1ignCKO_issD4K95Av3pCjC_n8FxkqVZ_WcmSwGWcGck8KiSEIceaxbbGDnOf9Srp8f4X=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
