channel_name,extraction_date,title,views,likes,comments,duration,video_date,thumb
L3VI,2024-08-19 01:28:42,Entrei na vila corrompida e isso apareceu…,229921,5320,666,0:21:43,2024-08-14,http://img.youtube.com/vi/3Ck7d057e70/maxresdefault.jpg
Robin Hood Gamer,2024-08-19 01:28:42,ESCAPE DOS PAIS MALVADOS NO SIMULADOR DE ESCOLA!! (SCHOOLBOY RUNAWAY),824130,16104,481,0:50:50,2024-08-15,http://img.youtube.com/vi/XLpXSluCltc/maxresdefault.jpg
Enaldinho,2024-08-19 01:28:42,"QUEM FICAR MAIS TEMPO SEM GRITAR, VENCE! *Desafio",885371,23700,1000,0:09:02,2024-08-16,http://img.youtube.com/vi/zfSwPnY_tB0/maxresdefault.jpg
TV Senado,2024-08-19 01:28:42,Pacheco e Lira questionam decisão de Flávio Dino sobre emendas impositivas,66074,1595,376,0:01:21,2024-08-16,http://img.youtube.com/vi/AOFqtVSxD20/maxresdefault.jpg
FixzTwo,2024-08-19 01:28:42,Oque Acontece com 1M de Espaços no INVENTÁRIO?,215975,5393,161,0:18:15,2024-08-17,http://img.youtube.com/vi/vFSnyRNDwd8/maxresdefault.jpg
NightExtreme,2024-08-19 01:28:42,JOGANDO a VERSÃO MAIS ASSUSTADORA do TALKING CARNE...DESBLOQUEIO MODO FINAL !! - Charlie The Steak,341277,6962,309,0:17:02,2024-08-16,http://img.youtube.com/vi/ixRfQPjUuR0/maxresdefault.jpg
Flakes Power,2024-08-19 01:28:42,MUDOU TUDO! NOVA TEMPORADA DA MARVEL NO FORTNITE!,211785,10374,285,0:15:26,2024-08-16,http://img.youtube.com/vi/J5R0WNAYowg/maxresdefault.jpg
Jazzghost,2024-08-19 01:28:42,EU ENCONTREI UM MEGALODON ARK! O FAMOSO TUBARÃO GIGANTE DA PRÉ-HISTÓRIA!,1413580,85637,7700,0:19:07,2024-08-15,http://img.youtube.com/vi/e7sYbaFrcPc/maxresdefault.jpg
g1,2024-08-19 01:28:42,Cruzamento de dados mostra que avião passou por manutenção após 'dano estrutural' | FANTÁSTICO,2303923,44800,5300,0:11:30,2024-08-12,http://img.youtube.com/vi/nQwDU1HHGHQ/maxresdefault.jpg
Emilly Vick,2024-08-19 01:28:42,24 HORAS D’BAIXO DA TERRA *Grupo dos rosa,2511904,61551,7100,0:12:41,2024-08-16,http://img.youtube.com/vi/2y4I_KSKh30/maxresdefault.jpg
UOL Esporte,2024-08-19 01:28:42,UFC 305: ASSISTA AO VÍDEO COM OS MELHORES MOMENTOS DO EVENTO QUE TEVE DU PLESSIS X ADESANYA,422886,12178,1200,0:12:28,2024-08-18,http://img.youtube.com/vi/5KZ9ASbsKLk/maxresdefault.jpg
Jorge &amp; Mateus Oficial,2024-08-19 01:28:42,"Jorge &amp; Mateus, Henrique &amp; Juliano - Xonei (Clipe Oficial)",1621489,56120,5200,0:02:38,2024-08-16,http://img.youtube.com/vi/a3FDFSMz5JQ/maxresdefault.jpg
Hurtig,2024-08-19 01:28:42,Cortei o CREEPER no Meio,183030,3280,71,0:15:06,2024-08-15,http://img.youtube.com/vi/xaacBw4th0Q/maxresdefault.jpg
FloGrappling,2024-08-19 01:28:42,Nicholas Meregali vs Michael Pixley | 2024 ADCC World Championship,229433,6504,945,0:07:54,2024-08-17,http://img.youtube.com/vi/wczje99MfXI/maxresdefault.jpg
ESPN Brasil,2024-08-19 01:28:42,"FLAMENGO CONTA COM GOL NO FIM, VENCE O BOLÍVAR E ABRE VANTAGEM NAS OITAVAS | Melhores Momentos",1355853,39340,1700,0:15:25,2024-08-16,http://img.youtube.com/vi/U8LLNrCZtqw/maxresdefault.jpg
Esporte na Band,2024-08-19 01:28:42,AL HILAL 4 X 1 AL NASSR - MELHORES MOMENTOS - FINAL DA SUPERCOPA SAUDITA,130609,3477,245,0:08:44,2024-08-17,http://img.youtube.com/vi/iEGXrtecyDE/maxresdefault.jpg
Leozinn 077,2024-08-19 01:28:42,ESSE É O ÚLTIMO VÍDEO NA MANSÃO DOS ROSA,2841683,59782,4900,0:13:13,2024-08-14,http://img.youtube.com/vi/nDOsKYu9aaM/maxresdefault.jpg
TNT Sports Brasil,2024-08-19 01:28:42,"MBAPPÉ MARCA NA ESTREIA, VINI JR DÁ SHOW E REAL MADRID É CAMPEÃO! REAL MADRID 2X0 ATALANTA",2803992,120184,5300,0:05:06,2024-08-14,http://img.youtube.com/vi/w9xNsNUHTvo/maxresdefault.jpg
Patriota,2024-08-19 01:28:42,NOVO PASSE DA MARVEL FICOU SENSACIONAL!,107871,11071,365,0:15:54,2024-08-16,http://img.youtube.com/vi/gboFqXcLKb4/maxresdefault.jpg
7 Minutoz,2024-08-19 01:28:42,Deadpool e Wolverine - BALAS E GARRAS | 7 Minutoz,643599,84090,4100,0:03:17,2024-08-14,http://img.youtube.com/vi/6Q8svKIi2N4/maxresdefault.jpg
MC Jacaré,2024-08-19 01:28:42,"MC JACARÉ, HUNGRIA - PINXADÃO (Clipe Oficial)",301010,22972,936,0:02:18,2024-08-16,http://img.youtube.com/vi/_6dTFjad4Vk/maxresdefault.jpg
CazéTV,2024-08-19 01:28:42,JOGO COMPLETO: FINAL DO FUTEBOL FEMININO | BRASIL X ESTADOS UNIDOS | OLIMPÍADAS PARIS 2024,15666286,347557,768,5:04:55,2024-08-10,http://img.youtube.com/vi/n_Fi587T7x0/maxresdefault.jpg
LadyGagaVEVO,2024-08-19 01:28:42,"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",11078373,800733,45000,0:04:12,2024-08-16,http://img.youtube.com/vi/kPa7bsKwL-c/maxresdefault.jpg
LLOUD Official,2024-08-19 01:28:42,LISA - NEW WOMAN feat. Rosalía (Official Music Video),37778544,2122136,144000,0:03:11,2024-08-16,http://img.youtube.com/vi/UxXY_hR_wzo/maxresdefault.jpg
Canal GOAT,2024-08-19 01:28:42,VILA NOVA X SPORT | BRASILEIRÃO SÉRIE B 2024 | AO VIVO E COM IMAGENS,679541,29643,5,2:36:36,2024-08-17,http://img.youtube.com/vi/VXvLHwrGiCk/maxresdefault.jpg
Wesley Safadão,2024-08-19 01:28:42,A Live - Wesley Safadão e Gusttavo Lima + Convidados,6697591,235216,2700,3:47:51,2024-08-14,http://img.youtube.com/vi/FMQ7DKOpDnQ/maxresdefault.jpg
CazéTV,2024-08-19 01:28:42,JOGO COMPLETO: BRASIL X TURQUIA | VÔLEI FEMININO | DISPUTA DE BRONZE | OLIMPÍADAS PARIS 2024,8251133,168776,576,2:28:29,2024-08-10,http://img.youtube.com/vi/a_gPe1SQBMo/maxresdefault.jpg
CNN Brasil,2024-08-19 01:28:42,Silvio Santos morre aos 93 anos | AGORA CNN - MANHÃ I,1043522,27098,4700,0:03:07,2024-08-17,http://img.youtube.com/vi/zJMtGOH0ksI/maxresdefault.jpg
Canal GOAT,2024-08-19 01:28:42,AJAX X PANATHINAIKOS | PLAYOFFS DA EUROPA LEAGUE | AO VIVO E COM IMAGENS,388384,18468,17,3:22:21,2024-08-15,http://img.youtube.com/vi/Aqi_pm-Fz1A/maxresdefault.jpg
Henrique e Juliano,2024-08-19 01:28:42,Henrique e Juliano - SEJA EX (Guias DVD 2024),856166,36849,1200,0:01:36,2024-08-12,http://img.youtube.com/vi/py36Xi-siI8/maxresdefault.jpg
Tio Gus,2024-08-19 01:28:42,GANHE 10 MEGACAIXAS OU 60 SORTEIOS STARR - DUBLADO!,149420,8297,705,0:02:25,2024-08-15,http://img.youtube.com/vi/8i8vDVKXL7c/maxresdefault.jpg
Eduardo Costa,2024-08-19 01:28:42,SUA VEZ l EDUARDO COSTA (CLIPE OFICIAL),892834,7127,767,0:03:55,2024-08-16,http://img.youtube.com/vi/-dMs5uqfiXw/maxresdefault.jpg
Paulo Vita Show,2024-08-19 01:28:42,"Furou o balão, TROCOU DE DATE | Ep. 2",908576,55817,2200,0:25:50,2024-08-15,http://img.youtube.com/vi/PJuEianXYmo/maxresdefault.jpg
